CÓDIGO,CÓDIGO PROVEEDOR,CLASIFICACIÓN,DESCRIPCIÓN,PESENTACIÓN,CATEGORIA ABASTECIMIENTO, REFERENCIA CONSUMO UNITARIO ANUAL 2019,CANTIDAD VENDIDA HS AÑO 2019,ABC,Marca Ofertada,Precio  unitario ofertado paraComplejo Uruca,% descuento,DESCUENTO,IVA,PRECIO FINAL,Columna1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04089,no disponible,,METADONA CLORHIDRATO 10MG,Tableta unitario,CONTRAPEDIDO,314,,C,, no disponible ,20%,#VALUE!,2%,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01131,,,METADONA CLORHIDRATO 5 MG TABLETA,Tableta unitario,CONTRAPEDIDO,11454,,A,, ₡774.00 ,30%, 232.20 ,2%,552.64,METADONA 5MG X30 estupenfaciente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08180,10010535,,METAMIZOL SÓDICO 500 MG TABLETA,Tableta unitario,Almacenable,50950,,B,SANOFI, ₡378.00 ,25%, 94.50 ,2%,289.17,NEO MELUBRINA 500 *100 TAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09180,10033089,Críticos,METAMIZOL SÓDICO 500 MG / ML AMPOLLAS DE 5 ML ,Ampolla,Almacenable,20760,,C,BOEHRINGER," ₡2,340.00 ",20%, 468.00 ,2%,1909.44,LISALGIL 2GR/5ML X 3 AMP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09182,10010279,Críticos,METFORMINA 500 MG/TAB,Tableta unitario,Transito,4674,,B,GLOBAL , ₡100.00 ,25%, 25.00 ,2%,76.50,DIAMENIL 500MG *100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M03019,10070024,,METILCELULOSA 0.5% SOL. OFTÁLMICA,Frasco gotero,Almacenable,4359,,B,SOPHIA," ₡8,488.00 ",25%," 2,122.00 ",2%,6493.32,METICEL OFTENO 5% 10 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02061,40410268,,METILO 5% COMO SALICILATO UNGUENTO,Frasco 60 gramos,Almacenable,126273,,A,YAMBAL," ₡1,245.00 ",30%, 373.50 ,13%,984.80,YAMBAL SALICILATO C/METILO CREMA 70 GR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04090,no disponible,Críticos,METILPREDNISOLONA 500 MG INYECTABLE ,Frasco inyectable,Almacenable,60,,C,depo medrol, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01136,10010497,,METOCLOPRAMIDA 10 MG / TABLETA,Tableta unitario,Z,9282,,A,LISAN, ₡170.00 ,30%, 51.00 ,2%,121.38,METOCLOPRAMIDA LISAN *30 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04094,no disponible,,METOCLOPRAMIDA 10 MG AMPOLLA ,Ampolla,Z,4286,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09185,no disponible,,METRONIDAZOL 500 MG INYECTABLE,Bolsa inyectable,Almacenable,1003,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09184,10010493,,METRONIDAZOL 500 MG/TAB,Tableta unitario,Z,854,,C,LISAN, ₡201.00 ,20%, 40.20 ,2%,164.02,METRONIDAZOL LISAN 500MG *20 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02088,10132142,,MICONAZOL 2% Ó TIOCONAZOL 1% CREMA,Tubo 30 gramos,Almacenable,5686,,B,CHEMO," ₡3,388.00 ",25%, 847.00 ,2%,2591.82,TRINIZOL CREMA 2%30 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX238,10050013,,MICONAZOL GEL ORAL, Tubo Gel oral,No Lom,4,,C,JANSSEN," ₡16,044.00 ",20%," 3,208.80 ",2%,13091.90,DAKTARIN GEL ORAL 78 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M06020,,,"MIDAZOLAM 5 MG/ML BASE (COMO HIDROCLORURO DE MIDAZOLAM)
SOLUCIÓN INYECTABLE 3 ML",Ampolla,Almacenable,16987,,A,dormicum," ₡8,228.64 ",30%," 2,468.59 ",2%,5875.25,PSICOTROPICO DORMICUM IV/IM 15MG/3ML X 5 AMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX112,,,MÓDULO DE PROTEINA LIQUIDA A BASE DE COLÁGENO HIDROLIZADO Y PROTEÍNA DE SUERO Líquido,Botella 30 onzas,No Lom,66,,C,Prosure no carb," ₡41,600.00 ",20%," 8,320.00 ",13%,37606.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13470,no disponible,,MÓDULO PROTEICO EN POLVO A BASE DE  L-ARGININA Y L-GLUTAMINA Polvo,"Sobre 27,5 gramos",Z,45,,C,argimet," ₡7,950.00 ",20%," 1,590.00 ",13%,7186.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01125,,,MONTELUKAST SODICO 10 MG ,Tableta unitario,Almacenable,55995,,A,GUTIS, ₡850.00 ,30%, 255.00 ,2%,606.90,GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01137,,,MORFINA 20MG ,Tableta unitario,CONTRAPEDIDO,1648,,B,, ₡500.64 ,25%, 125.16 ,2%,382.99,MORFINA 20MG X 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01138,no disponible,,MORFINA 30MG ,Tableta unitario,CONTRAPEDIDO,254,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09190,12010005,,MORFINA SULFATO O CLORHIDRATO 15 MG/ML ,Ampolla,CONTRAPEDIDO,29412,,A,," ₡1,770.00 ",30%, 531.00 ,2%,1263.78,MORFINA AMPOLLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09361,10070047,,"MOXIFLOXACINA 0,5% CON DEXAMETASONA 0,1%
SOLUCIÓN OFTÁLMICA",Frasco gotero 5mL,Almacenable,386,,C,ALCAMES," ₡24,338.24 ",20%," 4,867.65 ",2%,19860.00,*A* VIGADEXA SOL.OFT.5 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09360,10010522,,MOXIFLOXACINA 400MG/TAB,Tableta unitario,Z,250,,C,LA SANTE," ₡3,023.00 ",20%, 604.60 ,2%,2466.77,MOXIFLOXACINA  400 MG *7 TABS LA SANTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09191,10070045,Críticos,MOXIFLOXACINA GOTAS OFALMICAS 0.5% ,Frasco gotero 5mL,Z,760,,C,ALCON," ₡21,470.00 ",20%," 4,294.00 ",2%,17519.52,VIGAMOX 0.5 % 5 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01139,60020076,,MUCÍLAGO GRANULADO ,Frasco 40 -50 gramos,Almacenable,1434,,C,GLOBAL ," ₡5,158.00 ",20%," 1,031.60 ",2%,4208.93,FIBRA-FLAT 400G MANZANA POLVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02063,10020023,,N-ACETILCISTEINA 200 MG Polvo o tableta efervescente,Polvo o tableta efervescente,Almacenable,74895,,C,actein, ₡492.00 ,20%, 98.40 ,2%,401.47,ACTEIN GRANULADOS 200MG * 30 SOBRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04098,10033137,,N-ACETILCISTEÍNA 300 MG/3 ML,Ampolla inyectable,Z,29,,C,," ₡2,178.00 ",20%, 435.60 ,2%,1777.25,FLUIMUCIL 300MG/3ML X 5AMP IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09194,no disponible,,NALOXONA CLORHIDRATO .4 MG/ML ,Ampolla,Transito,32,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX116,no disponible,,NANDROLONA 50 MG/ML SOLUCIÓN INYECTABLE,Frasco inyectable,No Lom,8,,C,, no disponible ,20%,#VALUE!,,#VALUE!,decadurobolin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02064,16130018,,NEOMICINA C/ BACITRACINA UNGÜENTO,Tubo 15 gramos,Almacenable,10409,,B,ALCAMES," ₡2,885.00 ",25%, 721.25 ,2%,2207.03,NEOMICINA BACITRACINA ALCAMES UNG.15 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08066,,,NEOSTIGMINA METILSULFATO 0.5 MG / ML ,Ampolla,Almacenable,3586,,C,," ₡1,400.00 ",20%, 280.00 ,2%,1142.40,NEOSTIGMINA 0.5 MG UNIDAD SANDERSON X 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09362,10070029,,NEPAFENAC 0.1% GOTAS OFTALMICAS,Frasco gotero,Almacenable,0,,C,," ₡19,395.00 ",20%," 3,879.00 ",2%,15826.32,NEVANAC 5 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX191,no disponible,,NIFEDIPINO 30 MG,Tableta unitario,No Lom,0,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09196,10040116,,NISTATINA GOTAS ORAL,Frasco 30mL,Z,71,,C,GUTIS," ₡7,520.00 ",20%," 1,504.00 ",2%,6136.32,NISTAT SUSPENSION 30 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01145,10010748,,"NITROFURANTOÍNA (MACROCRISTALES) 100 MG
CÁPSULA",Cápsula unitario,Almacenable,2853,,B,ACINO, ₡765.00 ,25%, 191.25 ,2%,585.23,UVAMIN 100MG X 20 CAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09363,,,NITROGLICERINA 5 MG/10 ML FRASCO/AMPOLLA,Ampolla,Transito,22,,C,," ₡10,780.00 ",20%," 2,156.00 ",2%,8796.48,NITROGLICERINA 5 MG/10 ML FRASCO/AMPOLLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09197,no disponible,,NITROGLICERINA DE 0. 5 MG O 0.6 MG /TABLETA,Tableta unitario,Transito,100,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04158,no disponible,,NITROPRUSIATO DE SODIO 50 MG AMPOLLA 2 Ó 5 ML ,Ampolla,Transito,2,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04096,no disponible,,NOREPINEFRINA 1MG/ML ,Ampolla,Almacenable,393,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01147,no disponible,,OLANZAPINA  5 MG ,Tableta unitario,Almacenable,5952,,A,, no disponible ,30%,#VALUE!,,#VALUE!,olexa 5 o telorzan 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01149,10011736,,OLANZAPINA 10 MG,Tableta unitario,Almacenable,10271,,A,," ₡1,360.00 ",30%, 408.00 ,2%,971.04,OLEXA 10MG / 7 TABLETAS  1+1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09351,10070057,,OLOPATADINA 1 MG/ML SOLUCION OFTÁLMICA,Frasco gotero 5mL,Z,55,,C,," ₡16,141.00 ",20%," 3,228.20 ",2%,13171.06,ALOCOT OFTAMICO 0.1 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX121,no disponible,,OMALIZUMAB 150 MG,Solución inyectable,No Lom,28,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09202,10010376,,"OMEPRAZOL 20 MG O ESOMEPRAZOL 40 MG  O LANZOPRAZOL 30 MG
CÁPSULA",Cápsula unitario,Almacenable,115696,,A,, ₡585.00 ,30%, 175.50 ,2%,417.69,GASTROPIL 30MG *100 CAPSULAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09208,no disponible,,"OMEPRAZOL SÓDICO O ESOMEPRAZOL SÓDICO O PANTOPRAZOL SÓDICO 40 MG
POLVO LIOFILIZADO PARA INYECCIÓN",Frasco inyectable,Almacenable,1973,,C,, no disponible ,20%,#VALUE!,,#VALUE!,"nexium 40, pantecta 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04159,,,ONDASETRÓN 2MG/ML O GRANISETRON 1 MG/ML ,Ampolla,Almacenable,9058,,B,," ₡10,434.00 ",25%," 2,608.50 ",2%,7982.01,ONDASETRÓN 2MG/ML O GRANISETRON 1 MG/ML  X 5 AMPOLLAS 3ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04100,,,"OXACILINA BASE 1 G (COMO SAL SÓDICA)
POLVO LIOFILIZADO PARA INYECCIÓN",Frasco inyectable,Almacenable,6420,,B,," ₡3,978.80 ",25%, 994.70 ,2%,3043.78,OXACILINA 1 GR. X 1 UNIDAD FRASCO VITALIS X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX122,10010957,,OXCARBAMAZEPINA 300 MG TABLETAS,Tableta unitario,No Lom,812,,C,, ₡501.00 ,20%, 100.20 ,2%,408.82,OXICODAL 300MG*30TAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX123,no disponible,,OXCARBAZEPINA SUSPENSION 300 MG/ 5 ML SUSPENSION ORAL,Frasco 100mL,No Lom,2,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09205,10010744,Críticos,"OXIBUTININA HIDROCLORURO 10 MG
TABLETA",Tableta unitario,Almacenable,25278,,A,ROWE," ₡2,342.00 ",30%, 702.60 ,2%,1672.19,URGINAL UD *10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX124,10010745,,"OXIBUTININA HIDROCLORURO 5 MG 
TABLETA",Tableta unitario,No Lom,0,,C,ROWE, ₡798.00 ,20%, 159.60 ,2%,651.17,URGINAL TAB.*30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01146,,,OXICODONA 10MG,Frasco x 30  tabletas,CONTRAPEDIDO,16250,,A,," ₡1,836.00 ",30%, 550.80 ,2%,1310.90,oxycontin 10mg x 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX126,,,OXICODONA 40 MG TABLETA,Frasco x 30  tabletas,No Lom,0,,C,," ₡6,267.00 ",20%," 1,253.40 ",2%,5113.87,oxycontin 40mg x 30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09366,,Críticos,OXIDO DE ZINC / ACEITE DE  BACALAO UNGÜENTO ,Tubo 100-120 gramos,Transito,2574,,B,F3 clínica bíblica," ₡5,877.62 ",25%," 1,469.41 ",2%,4496.38,F-3 CREMA MANZANILLA 120 GRS (ROJA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09206,10132391,,OXIDO DE ZINC CREMA ,Tubo 50 a 60 gramos,Z,31,,C,," ₡1,164.00 ",20%, 232.80 ,2%,949.82,PAÑALITO CREMA TUBO 60 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX129,90956852,,PAÑALES DESECHABLES TIPO TENA GRANDES ,Paquete por 10 unidades,No Lom,6030,,C,NATEEN," ₡4,185.00 ",20%, 837.00 ,0%,3348.00,NATEEN BASIC LINE 4 L 10 UN (1393),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX132,90956850,,PAÑALES DESECHABLES TIPO TENA MEDIANOS ,Paquete por 20 unidades,No Lom,1332,,C,NATEEN," ₡3,390.00 ",20%, 678.00 ,0%,2712.00,NATEEN BASIC LINE 3 M 10 UN (1386),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX132,90956850,,PAÑALES DESECHABLES TIPO TENA MEDIANOS ,Paquete por 20 unidades,No Lom,1332,,C,NATEEN," ₡3,390.00 ",20%, 678.00 ,0%,2712.00,NATEEN BASIC LINE 3 M 10 UN (1386),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX133,90956873,,PAÑALES P/ ADULTO MEDIANOS TIPO CALZÓN ,Paquete por 10 unidades,No Lom,3410,,C,NATEEN," ₡4,352.00 ",20%, 870.40 ,0%,3481.60,NATEEN PANTS BASIC LINE 3 M *10 UNID (1539)..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX134,90956874,,PAÑALES PARA ADULTO TALLA GRANDE,Paquete por 10 unidades,No Lom,0,,C,NATEEN," ₡5,375.00 ",20%," 1,075.00 ",0%,4300.00,NATEEN PANTS BASIC LINE 4 L *10 UNID (1546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX135,90956918,,PAÑALES PEDRIATICOS GRANDES ,Paquete por 17 unidades,No Lom,375,,C,NATEEN," ₡4,930.00 ",20%, 986.00 ,0%,3944.00,NATEEN COMBI MAXI 2 S 10UN (0808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09211,10010250,,PAROXETINA 20 MG,Tableta unitario,Z,200,,B,," ₡1,186.00 ",25%, 296.50 ,2%,907.29,DEPAX 50MG*14 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX137,10010598,Críticos,"PAROXETINA CLORHIDRATO 25 MG 
TABLETA",Tableta unitario,No Lom,14199,, B,," ₡1,870.00 ",25%, 467.50 ,2%,1430.55,PAXIL CR 25 MG X 30 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04103,,,PENICILINA G BENZATÍNICA 1.200.000 UD,Frasco inyectable,No Lom,1,,C,," ₡2,163.42 ",20%, 432.68 ,2%,1765.35,PENICILINA BENZATINICA 1.200.000 UNIDAD VITALIS X 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04109,no disponible,Críticos,PENICILINA G. SÓDICA O POTÁSICA CRISTALINA 1.000.000 UD,Frasco inyectable,Z,9294,,A,, no disponible ,30%,#VALUE!,2%,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01150,10010587,,"PENTOXIFILINA 400 MG
TABLETA",Tableta unitario,Almacenable,2918,,C,GENFAR, ₡656.00 ,20%, 131.20 ,2%,535.30,PENTOXIFILINA GENFAR 400 MG*30 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02067,10131912,,PEROXIDO DE HIDROGENO 10 VOLUMENES 120 ML ,Frasco 120mL,Almacenable,585,,C,LACOFA," ₡1,070.00 ",20%, 214.00 ,2%,873.12,AGUA OXIGENADA 10 VOL LACOFA 120 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09216,10010085,Críticos,PICOSULFATO DE SODIO 5 MG/TAB,Tableta unitario,Z,5733,,B,, ₡160.00 ,25%, 40.00 ,2%,122.40,ANARA *200 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09215,10050007,,PICOSULFATO DE SODIO 7.5 MG /ML FRASCO GOTERO,Frasco 20mL,Z,189,,C,," ₡3,901.00 ",20%, 780.20 ,2%,3183.22,ANARA GTS 20 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX230,10132354,,PIMECROLIMUS CREMA ,Tubo 15-30 gramos,No Lom,0,,C,PROCAPS," ₡15,330.00 ",20%," 3,066.00 ",2%,12509.28,"CROMUS 0,1 UNGÜENTO 15 GRS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04112,,,PIPERACILINA TAZOBACTAN 4.5 G FRASCO AMPOLLA ,Frasco inyectable,Transito,1011,,B,tazonin," ₡22,276.80 ",25%," 5,569.20 ",2%,17041.75,TAZONIN  por unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX141,no disponible,,POLIESTIRENO SULFONATO SODICO POLVO,Polvo 454 gramos,No Lom,24,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX142,10020014,,POLIETILENGLICOL 3350 ,Polvo 300gramos,No Lom,73,,C,CHEMO," ₡12,290.00 ",20%," 2,458.00 ",2%,10028.64,MAGIC-LAX GRANULADO 300 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10165,no disponible,,POLIMIXINA B 500.000 UNIDADES POLVO LIOFITILIZADO PARA INYECCIÓN,Frasco inyectable,Z,136,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08071,no disponible,,POTASIO CLORURO ,Ampolla,Almacenable,2112,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02085,no disponible,,POVIDONA YODURO SOLUCIÓN TÓPICA AEROSOL,Frasco 60-120mL,Almacenable,2029,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01225,10011462,,PREDNISOLONA 20 MG ,Tableta unitario,Z,0,,C,GLOBAL , ₡415.00 ,20%, 83.00 ,2%,338.64,PREDNABENE TABLETAS 20 MG  10 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01154,10010610,,PREDNISOLONA 5 MG ,Tableta unitario,Almacenable,98555,,B,CALOX, ₡158.00 ,25%, 39.50 ,2%,120.87,PREDNISOLONA CALOX 5 MG.*30 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09225,10070062,,"PREDNISOLONA ACETATO 1%
SUSPENSIÓN OFTÁLMICA",Frasco gotero 5mL,Almacenable,458,,C,," ₡15,573.00 ",20%," 3,114.60 ",2%,12707.57,PREDNEFRIN FORTE 1 % 5 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01152,10011621,,PREGABALINA 150 MG CÁPSULA***,Cápsula unitario,Almacenable,162119,,A,, ₡843.00 ,30%, 252.90 ,2%,601.90,NEURONAL 150 MG X 30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01153,10011632,,PREGABALINA 300 MG***,Cápsula unitario,Z,108478,,A,," ₡1,320.00 ",30%, 396.00 ,2%,942.48,NEURONAL 300 MG * 30 CAPSULAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01151,10011631,,PREGABALINA 75 MG CÁPSULA***,Cápsula unitario,Almacenable,108829,,A,, ₡810.00 ,30%, 243.00 ,2%,578.34,*A* NEURONAL 75 MG * 30 CAPSULAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09367,no disponible,Críticos,PROPANOLOL 1 MG/AMP,Ampolla,No Lom,0,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01155,10010617,,PROPANOLOL 10 MG TABLETA,Tableta unitario,Z,31925,,A,LISAN, ₡107.45 ,30%, 32.24 ,2%,76.72,PROPANOLOL 40MG X 50 TABS LISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04161,10033235,,PROPOFOL 1% ,Ampolla,Almacenable,11322,,A,," ₡4,901.00 ",30%," 1,470.30 ",2%,3499.31,PROPOFOL INYECTABLE 20 ML * 5 AMPOLLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08069,no disponible,,"PROPONOLOL 1%, 1MG./ML.",Ampolla,Transito,0,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04116,no disponible,,PROTAMINA 1% (CLORHIDRATO O SULFATO) 10MG/ML ,Ampolla,Transito,27,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX144,no disponible,,PRUCALOPRIDE SUCCINATO 2 MG TABLETA,,No Lom,28,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09231,10010628,,QUETIAPINA 100 MG,Tableta unitario,No Lom,71293,,A,," ₡1,258.00 ",30%, 377.40 ,2%,898.21,QUETIDIN 100 MG X 30 TABS REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01162,10010627,,QUETIAPINA 25 MG*** ,Tableta unitario,Almacenable,45130,,A,, ₡755.00 ,30%, 226.50 ,2%,539.07,QUETIDIN 25 MG X 30 TABS REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX147,10033101,,RANITIDINA 50 MG/ 2 ML SOLUCION INYECTABLE,Ampolla,No Lom,2,,C,GENFAR," ₡2,102.00 ",20%, 420.40 ,2%,1715.23,RANITIDINA GENFAR 50 MG/2ML*5 AMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01158,,,RIFAMPICINA 300 MG ,Tableta unitario,Almacenable,26208,,A,GUTIS, ₡40.00 ,30%, 12.00 ,2%,28.56,GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX148,10011096,,RISPERIDONA 1 MG,Tableta unitario,No Lom,300,,C,, ₡899.00 ,20%, 179.80 ,2%,733.58,SPIRON 1 MG *20TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX189,10011723,,RISPERIDONA 2 MG,Tableta unitario,No Lom,3900,,B,," ₡1,577.00 ",25%, 394.25 ,2%,1206.41,SPIRON 2 MG.*20 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01202,10010011,,RIVAROXABAN  20 MG TABLETA,Tableta unitario,Almacenable,12156,,A,," ₡1,910.00 ",30%, 573.00 ,2%,1363.74,XARELTO 15MG * 28 COMPRIMIDOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01200,10010784,,RIVAROXABAN 10 MG TABLETA,Tableta unitario,Z,1239,,B,," ₡1,900.00 ",25%, 475.00 ,2%,1453.50,XARELTO 10 MG X 10 COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01201,10010782,,RIVAROXABAN 15 MG TABLETA,Tableta unitario,Z,4513,,B,," ₡1,910.00 ",25%, 477.50 ,2%,1461.15,XARELTO 15 MG*14 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04117,,,ROCURONIO BROMURO 10MG/ML ,Ampolla,Almacenable,9,,C,ESMERON 50," ₡9,442.44 ",20%," 1,888.49 ",2%,7705.03,ESMERON 50MG/5ML X 10VIALES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09236,10011926,,SACCHAROMYCES BOULARDII  CAPSULA,Cápsula unitario,Z,415,,C,BIOPAS, ₡785.00 ,20%, 157.00 ,2%,640.56,PERENTEROL 250MG X 30 CAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
